userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
User_9583,,First time user. Understandable app. Able to make reservation more than a month in advance. Satisfactory update notices. On time. Professional.,5,0,4.545.10000,29-11-2024 16:21,,,4.545.10000
User_8218,,"My package deliverer stole my package, called uber, they never compensated me at all. 👎",2,0,,01-12-2024 23:13,,,
User_9276,,Excellent,5,0,4.554.10001,30-11-2024 03:50,,,4.554.10001
User_3813,,They are bad. I subscribe and paying 6 GBP monthly. Now during raining day they want me to pay extra otherwise they assigned me far away driver who needs more than 10 minutes to arrive. It still the same policy even after one year,1,0,4.555.10003,10-12-2024 14:12,,,4.555.10003
User_5886,,Excelente,5,0,4.554.10001,06-12-2024 06:39,,,4.554.10001
User_5082,,Good quick trip,5,0,4.555.10003,07-12-2024 21:04,,,4.555.10003
User_11815,,3 times trip canceld,3,0,,25-11-2024 08:40,,,
User_8823,,Was lovely,5,0,4.554.10001,30-11-2024 22:25,,,4.554.10001
User_1217,,Once they went to reservation only! Worst idea I've ever seen a large company make.,1,0,4.556.10005,15-12-2024 22:15,,,4.556.10005
User_3991,,Price is too inconsistent,2,0,4.555.10003,10-12-2024 03:37,,,4.555.10003
User_11147,,Very bad,5,0,4.553.10000,26-11-2024 15:41,,,4.553.10000
User_7615,,Good,5,0,4.554.10001,02-12-2024 22:32,,,4.554.10001
User_10691,,Good,4,0,4.553.10000,27-11-2024 11:42,,,4.553.10000
User_10184,,"My parcel got looted by an rider, yet not recived as per the rider said he was returning.",1,0,4.553.10000,28-11-2024 11:11,,,4.553.10000
User_1683,,GRRRRRRREAT,5,0,,14-12-2024 23:55,,,
User_4574,,"Reliable and fair pricing ,internationally.",4,0,,08-12-2024 22:07,,,
User_11540,,Affordable and reliable.,5,0,4.553.10000,25-11-2024 20:15,,,4.553.10000
User_10750,,I got to where I was going on time,5,0,4.553.10000,27-11-2024 09:47,,,4.553.10000
User_11283,,Good app Resonable prices,5,0,4.532.10001,26-11-2024 10:09,,,4.532.10001
User_7562,,They take long for the driver to confirm and the drivers take longer to arive,1,0,,03-12-2024 00:39,,,
User_5903,,Good,5,0,4.554.10001,06-12-2024 04:51,,,4.554.10001
User_2582,,Good,5,0,4.556.10005,13-12-2024 07:28,,,4.556.10005
User_3002,,Nice rchd at time,5,0,4.555.10003,12-12-2024 09:31,,,4.555.10003
User_10043,,"Driver are harsh , worst app , driver not available at movement",1,0,4.554.10001,28-11-2024 17:11,,,4.554.10001
User_2087,,Good service,5,0,4.556.10005,14-12-2024 07:05,,,4.556.10005
User_8928,,Drivers don't turn up and go in opposite directions. They clearly use Bolt and choose not to cancel trips. I've taken over 130 Ubers and had the same issue for years in several countries. The automated in-app support just says that you're not charged. They don't punish drivers or compensate users for their inability to get a grip on the problem,2,33,4.554.10001,30-11-2024 18:39,,,4.554.10001
User_4148,,Nice price and time to time drop awesome drive,5,0,4.555.10003,09-12-2024 18:56,,,4.555.10003
User_135,,Charges me $9.99 a month with nowhere to cancel.,1,0,4.556.10005,18-12-2024 11:14,,,4.556.10005
User_9917,,good,5,0,4.554.10001,28-11-2024 22:56,,,4.554.10001
User_1743,,Charged me over 180 dollars in payments and fee despite having vouchers. My tripped showed free while booking only to charge me after the fact,1,0,,14-12-2024 21:07,,,
User_7341,,"Excellent service, nice behaviour",5,0,4.554.10001,03-12-2024 12:12,,,4.554.10001
User_10874,,professional driver.,5,0,4.553.10000,27-11-2024 02:10,,,4.553.10000
User_3707,,Very easy to double tip and no easy way to undo it.,1,0,4.555.10003,10-12-2024 18:37,,,4.555.10003
User_5470,,His very kind and thoughtful,5,0,4.553.10000,07-12-2024 00:48,,,4.553.10000
User_700,,All cars have been clean. And drivers have been pleasant,5,0,4.503.10003,17-12-2024 01:55,,,4.503.10003
User_8557,,Very good experience with Uber keep it up,5,0,4.554.10001,01-12-2024 11:38,,,4.554.10001
User_11715,,"The trip was awesome 😎 and cool I loved the conversation skills and displine as well, I felt safe",5,0,4.553.10000,25-11-2024 12:20,,,4.553.10000
User_1608,,Always dependable!,5,0,4.556.10005,15-12-2024 05:00,,,4.556.10005
User_5863,,Good professional courteous friendly,4,0,4.554.10001,06-12-2024 08:11,,,4.554.10001
User_429,,This app so stupid waste app they don't they cancelled themselves 😡,1,0,4.554.10001,17-12-2024 18:17,,,4.554.10001
User_4023,,Love it,5,0,,10-12-2024 01:24,,,
User_6688,,Good diver thanks for your lovely driving,5,0,4.554.10001,04-12-2024 16:18,,,4.554.10001
User_4100,,Very good,4,0,4.546.10002,09-12-2024 21:15,,,4.546.10002
User_8875,,"""3min pickups"" that take 20min to arrive have became unbearably common, so much that is obvious that Uber is not being honest about them. If it's going to take a while then at least let me know in advance so I don't spend all this time waiting in the scorching sun.",2,0,4.554.10001,30-11-2024 20:23,,,4.554.10001
User_8514,,Dis is a very very good driving ☺️☺️☺️,5,0,4.554.10001,01-12-2024 13:09,,,4.554.10001
User_9649,,Good,5,0,4.550.10001,29-11-2024 13:28,,,4.550.10001
User_2270,,😎,5,0,,13-12-2024 21:28,,,
User_7692,,Great appp,5,0,4.554.10001,02-12-2024 20:33,,,4.554.10001
User_70,,Rapido is the best app,5,0,4.554.10001,18-12-2024 14:03,,,4.554.10001
User_5720,,there no option to connect with support team just ai generated queries and that also not helpful.. I am facing a problem with payment issue but there no way to contact the driver of that specific ride niether there is any option to get my issue resolved.. worst app,1,0,4.555.10003,06-12-2024 14:47,,,4.555.10003
User_10747,,Ok,5,0,4.553.10000,27-11-2024 09:52,,,4.553.10000
User_10152,,Educational,5,0,4.553.10000,28-11-2024 12:42,,,4.553.10000
User_11957,,Excellent app,5,0,4.553.10000,24-11-2024 23:32,,,4.553.10000
User_9137,,It was good 👍,5,0,4.554.10001,30-11-2024 10:59,,,4.554.10001
User_2019,,Good,5,0,4.555.10003,14-12-2024 10:19,,,4.555.10003
User_9836,,Spero un giorno vinceranno sulla mafia dei taxi in Italia,5,0,4.554.10001,29-11-2024 03:38,,,4.554.10001
User_11351,,Price hike before Thanksgiving. Ridiculous.,1,0,4.553.10000,26-11-2024 06:13,,,4.553.10000
User_6702,,Great,5,0,4.554.10001,04-12-2024 15:48,,,4.554.10001
User_4029,,Better then any other app honesty,5,0,4.555.10003,10-12-2024 01:06,,,4.555.10003
User_7759,,Good,5,0,4.546.10002,02-12-2024 17:59,,,4.546.10002
User_11690,,Good,5,0,4.553.10000,25-11-2024 13:47,,,4.553.10000
User_8483,,Was faster than other apps...,4,0,4.554.10001,01-12-2024 13:59,,,4.554.10001
User_3858,,Best app 😘😘😘😘😘,5,0,4.554.10001,10-12-2024 11:54,,,4.554.10001
User_744,,Superb,5,0,4.556.10005,16-12-2024 23:23,,,4.556.10005
User_1383,,I use like uber but now evertime I use it it takes more then it should be from my bank account just not my uber was $21.85 an right before that it took another $11 dollars like what's up with that? I paid $32.85 for a ride home? Wow rip off I say.,3,0,,15-12-2024 15:40,,,
User_5643,,Good,5,0,4.554.10001,06-12-2024 18:04,,,4.554.10001
User_8685,,Good,5,0,4.554.10001,01-12-2024 05:13,,,4.554.10001
User_10613,,Very bad,1,0,,27-11-2024 15:12,,,
User_149,,"In Bhubaneswar,Odisha area, the call option doesn't work.It does not connect at all.",4,0,4.556.10005,18-12-2024 10:04,,,4.556.10005
User_11879,,great trip.,5,0,4.553.10000,25-11-2024 04:26,,,4.553.10000
User_811,,I am lost my item i want find driver connect no but he is not provide connect no,1,0,4.556.10005,16-12-2024 20:55,,,4.556.10005
User_5900,,Great service,5,0,4.547.10001,06-12-2024 05:30,,,4.547.10001
User_4328,,Excellent service. Ontime picked up,5,0,4.555.10003,09-12-2024 11:14,,,4.555.10003
User_6373,,Very nice service,4,0,,05-12-2024 06:24,,,
User_3995,,Good service 👍🏻,5,0,4.555.10003,10-12-2024 03:27,,,4.555.10003
User_4382,,Not happy on of your delivery people missed place order,1,0,4.555.10003,09-12-2024 08:54,,,4.555.10003
User_1730,,Very easy and best travel,5,0,4.539.10000,14-12-2024 21:56,,,4.539.10000
User_4359,,Have been booking rides in Uber almost daily since last October/November. Observed not only booking amount going up significantly but also drop in service quality overall. Honestly a very dissatisfied customer. I don't know if that matters to Uber. Have complained through other official channels as well.,3,0,4.555.10003,09-12-2024 09:56,,,4.555.10003
User_5027,,Great,5,0,4.555.10003,07-12-2024 23:24,,,4.555.10003
User_1793,,Nice,5,0,4.439.10002,14-12-2024 19:46,,,4.439.10002
User_9079,,Your payment methods is sucks as a foreign how do you expect me pay with cards and all other methods I use cash coz I'm doing my errands,2,0,4.554.10001,30-11-2024 13:02,,,4.554.10001
User_5466,,Nice app,5,0,,07-12-2024 01:06,,,
User_11127,,Good,5,0,4.553.10000,26-11-2024 16:32,,,4.553.10000
User_8486,,Good 👍,5,0,4.554.10001,01-12-2024 13:57,,,4.554.10001
User_1121,,App crashed often... Predominantly using LYFT now,1,0,4.556.10005,16-12-2024 04:42,,,4.556.10005
User_4618,,"Terrible app for people with Adhd or tend to be forgetful!!!!!!! I left something brand new in a taxi and I had to PAY £20 to get it back! Not only that, once your trips ended you can no longer contact them to let them know!! They 10000% would have kept it, no doubt in my mind, and it was for work and was expensive, I do not recommend the prices go up and down like crazy yes it's good when it's cheap but its not good when it goes to 58 pound for a £15 trip! They seemed nice in the car till that",1,15,4.555.10003,08-12-2024 20:16,,,4.555.10003
User_5937,,GREAT!!,5,0,4.554.10001,06-12-2024 01:50,,,4.554.10001
User_9527,,Affordable price,5,0,4.554.10001,29-11-2024 18:30,,,4.554.10001
User_2034,,Good app,5,0,4.556.10005,14-12-2024 09:56,,,4.556.10005
User_3126,,Very very good,5,0,4.555.10003,12-12-2024 01:09,,,4.555.10003
User_11064,,Excellent service and ride,5,0,4.554.10001,26-11-2024 19:05,,,4.554.10001
User_11822,,"I can't even log into my account anymore cuz a driver decided I'm a minor and blocked me, I have a full beard for the record",1,0,4.553.10000,25-11-2024 08:14,,,4.553.10000
User_3827,,Good service... Right time pic & Drop to distance...,5,0,4.555.10003,10-12-2024 13:30,,,4.555.10003
User_4367,,Worst app Auto and cab not available at night whenever needed Shows long waiting time,1,0,4.555.10003,09-12-2024 09:39,,,4.555.10003
User_5297,,Best travelling experience,5,0,4.555.10003,07-12-2024 11:29,,,4.555.10003
User_3210,,Good,4,0,4.555.10003,11-12-2024 21:25,,,4.555.10003
User_9928,,have a very nice experience,5,0,4.554.10001,28-11-2024 22:41,,,4.554.10001
User_2698,,Worst app made me miss my flight cause it wouldn't send the driver to my location had to get lyft,1,0,4.556.10005,12-12-2024 23:27,,,4.556.10005
User_8045,,When we are in urgent for office work no one is picking the ride 2 hr no one is picking the ride morning Time,1,0,,02-12-2024 08:36,,,
User_4279,,Good 👍,5,0,4.553.10000,09-12-2024 13:23,,,4.553.10000
User_373,,Fantastic,5,0,4.556.10005,17-12-2024 20:19,,,4.556.10005
User_624,,Good for ride,3,0,4.556.10005,17-12-2024 07:21,,,4.556.10005
User_11617,,excellent,5,0,,25-11-2024 16:53,,,
User_6096,,Bhaiya G ka shubhabh bahut hi acha hai or emandar hai very nice drawing thanks uber,5,0,4.554.10001,05-12-2024 18:48,,,4.554.10001
User_4983,,"excellent, fantabulous",5,0,,08-12-2024 01:29,,,
User_3488,,"This app is great. Four stars because I wish I didn't get notifications when I have the app open. I'm already in the app, just put the message on my window please. I open the notification and lose my page. Soon it seems I have multiple Uber pages open and am not sure which is the most current.",4,0,4.547.10001,11-12-2024 06:58,,,4.547.10001
User_11979,,"Best experience ever , very understanding and polite ,friendly I enjoyed the long ride",5,0,4.550.10001,24-11-2024 22:33,,,4.550.10001
User_2036,,"The app is good, but I don't know why I'm not able to use the pay later option and I've contacted the customer care many times for this but got no response whatsoever",3,0,,14-12-2024 09:52,,,
User_8388,,Best,5,0,4.554.10001,01-12-2024 17:18,,,4.554.10001
User_747,,"I'll start off by saying I have used them for about three weeks and every time I go 5 miles into town it is 22$ to $30. I got on Lyft today and both rides I needed today were $10-13 cheaper. Also you should know that Uber has taken down their customer support phone number, so you will have to deal with a live chat and that's hit or miss ( mostly misses). Hopefully that will help you decide if this app is suitable for you.",1,0,4.556.10005,16-12-2024 23:15,,,4.556.10005
User_9037,,Good,4,0,4.553.10000,30-11-2024 14:29,,,4.553.10000
User_9145,,"Wrost app i made a payment and it still shows unpaid i took help of customer care give all the details but no resolution give by them. Fraud app, That' why you will never in top cruse you",1,0,4.554.10001,30-11-2024 10:42,,,4.554.10001
User_4447,,Goodmorning keep it up,5,0,4.555.10003,09-12-2024 04:37,,,4.555.10003
User_11019,,"Every time they charge me, they always cancel the ride, and then they charge me more money after they cancel the ride. Oh yea when i try to talk to the bot about how they are canceling the ride after it, it doesn't help you get your money back when they charge you more.",1,0,,26-11-2024 20:24,,,
User_6743,,I am happy,5,0,4.554.10001,04-12-2024 14:21,,,4.554.10001
User_7502,,"support is abysmal. pre-typed responses that absolutely do not cover all bases. no ""other"" option. no ""speak to a human"" option. only pre-typed responses that are often useless. this is definitely by design.",1,1,4.554.10001,03-12-2024 03:43,,,4.554.10001
User_3100,,Good work. Affordable convenient top notch services,5,0,4.555.10003,12-12-2024 02:37,,,4.555.10003
User_3299,,"Review for Uber EATS only. Do not use Uber Eats as opposed to other delivery services. Delivery drivers accept your order, then proceed to not deliver your order but to run personal errands or deliver for other services (Uber Eats GPS shows their location). There is no time limit for the deliver drivers so they can choose how long to take to deliver your order. You may wait 20 minutes, or 2 hours, it's up to them. I had two delivery drivers accept my order and then drive miles away. Do not use",1,1,4.555.10003,11-12-2024 17:05,,,4.555.10003
User_6245,,Good,5,0,,05-12-2024 12:22,,,
User_8292,,Good,5,0,4.554.10001,01-12-2024 20:32,,,4.554.10001
User_7566,,This is the worst app. Customer support is non existent. Its absolute garbage. If you use this app keep a close eye on your bank and cards because it is riddled with scammers and there is no support to help you if you lose money to a scammer. Users Beware.,1,1,4.554.10001,03-12-2024 00:30,,,4.554.10001
User_3431,,price dikh hai lakin aap khulne me bahut time lagata hai,3,0,4.535.10000,11-12-2024 10:35,,,4.535.10000
User_7118,,10-30 minutes waiting time still no cab was booked. What's the use of such low rates if no one was to come. Very poor service.,1,0,,03-12-2024 19:58,,,
User_6805,,Right on time with nominal tariff,5,0,4.554.10001,04-12-2024 11:56,,,4.554.10001
User_1261,,Very good driver,5,0,4.556.10005,15-12-2024 20:38,,,4.556.10005
User_647,,Andrea was FANTASTIC!!!,5,0,4.556.10005,17-12-2024 05:38,,,4.556.10005
User_19,,"Today one horrible experience I faced ...I booked one Uber go for one operation patient drop off...but after 20mins waiting driver named Tarun sarker forced me to cancel my ride...I requested him several times telling the condition of my operation patient...he tell rudely ""apni ja paren Amar korun ami jabona"" and forced me to cancel the trip.what type of nonsense behavior is this? I never expect such type of rude behavior from Uber drivers.",1,0,4.556.10005,18-12-2024 16:32,,,4.556.10005
User_5608,,Debits money before securing a driver,1,0,4.554.10001,06-12-2024 19:42,,,4.554.10001
User_2145,,Good service,5,0,4.556.10005,14-12-2024 03:25,,,4.556.10005
User_6920,,First time user - great service,5,0,4.554.10001,04-12-2024 06:09,,,4.554.10001
User_5922,,"Thanks Uber for the kindness of your service in lille France when we were left behind by our coach, On a way day for from Kent England. Xx my gratitude for the courtesy of your driver.",5,0,4.554.10001,06-12-2024 03:00,,,4.554.10001
User_9411,,Nice,5,0,4.554.10001,29-11-2024 22:07,,,4.554.10001
User_2791,,"Really soo fast and accurate pick-up, drop .🥰🥰",5,0,,12-12-2024 19:49,,,
User_4954,,😊😊😊😊,5,0,4.554.10001,08-12-2024 03:08,,,4.554.10001
User_6727,,Excellent driver,5,0,,04-12-2024 14:58,,,
User_1905,,good,5,0,,14-12-2024 15:17,,,
User_2021,,I was quoted one price and charged more. Going back to Lyft,1,0,4.556.10005,14-12-2024 10:12,,,4.556.10005
User_5357,,I can really appreciate the specifications and options offered for rates and time. I'm 45 and I remember waiting 40 minutes at the least for a cab with no options of seating room and every car feeling like the back seat of a cop cruiser. We have truly advanced in some areas of living and this is one of those things.,5,1,4.555.10003,07-12-2024 08:07,,,4.555.10003
User_3501,,"Much MUCH CHEAPER then Lyft. Even beats lyfts sales. I'm not throwing shots... I'm just saying. I look at both and it's just better, lower.",5,0,4.555.10003,11-12-2024 05:40,,,4.555.10003
User_1369,,Excellent service 👏,5,0,4.556.10005,15-12-2024 16:12,,,4.556.10005
User_4767,,"Really disappointed!! Bought uber one but it's really waste of money cause I'm not saving anything here instead paying more just checked the prices on other locations the price is difference is noticeably, I uber one user is paying more... Other app was asking 202,211 but here uber is asking 254 after 10% credits it's still more than other apps",1,0,,08-12-2024 13:47,,,
User_1368,,Its better now with intercity ride,5,0,4.556.10005,15-12-2024 16:13,,,4.556.10005
User_9373,,Good discount,5,0,,29-11-2024 23:20,,,
User_9784,,Nice service at affordable price in KSA.,5,0,,29-11-2024 07:41,,,
User_1941,,Exhorbitantly expensive. The uber fees charged are just insane. Sad these stuffs are not regulated by a regulatory body.,1,0,4.556.10005,14-12-2024 13:51,,,4.556.10005
User_7588,,Good,5,0,4.554.10001,02-12-2024 23:38,,,4.554.10001
User_1978,,Too much time taken to book ride,1,0,4.556.10005,14-12-2024 12:20,,,4.556.10005
User_8726,,Osm app fantastic 😊very fast driving osm 👍😊,5,0,,01-12-2024 02:37,,,
User_5364,,Very good Uber driver. It would be more useful if the app can provide a portion to note child seats and boosters and or bags carried. It will give driver a good understanding of whether things will fit or not. My driver was very generous and helpful in a lovely way benefited the family travel to Airport.,5,0,,07-12-2024 07:57,,,
User_3366,,"Excellent, clean cars , kind drivers ,with Uber we can go",5,0,4.555.10003,11-12-2024 13:37,,,4.555.10003
User_6618,,Ms Safi was really nice lady i would ask her ask her all the time if I could thank you so much Safi 💗,5,0,4.554.10001,04-12-2024 19:09,,,4.554.10001
User_7113,,Nice to travel 🙃,5,0,4.552.10000,03-12-2024 20:07,,,4.552.10000
User_5046,,Excellent service 👏,5,0,4.554.10001,07-12-2024 22:46,,,4.554.10001
User_3889,,4 days ago I requested a cash trip for my mom. The driver was given cash but I still had the amount owing on my account. This amount which was already paid affected my next trip which resulted in me having to settle it before I could request a trip. I paid for a single trip twice. After multiple escalations to Uber this issue remains unresolved with agents advising that it has been resolved. This is unacceptable as I have never had any driver steal my money🤬😡😤 I don't recommend Uber at all😡,1,1,4.555.10003,10-12-2024 10:35,,,4.555.10003
User_3372,,worst & scam app. Customer ko kam price dikhakar location ke pohochane ke baad jyada paise demand karte hai driver .. Worst app. Please don't install this scam & useless app. This is the 2nd time jab driver ne jyada paise liye hain.👎👎👎😭.. Uninstalling this useless app. 😡😓,1,0,4.555.10003,11-12-2024 13:29,,,4.555.10003
User_4553,,Don't install this uber app.. totally waste of time because drivers no one accepting online payment but you are giving online discount then why this offer ... And there is complaint number and customer service... Totaly waste service.. without proper customer service then why you running this service...I can't able to complaint against drivers and no one giving proper solution.. so please give me any suggestions to provide before one star so that I will minus star to this worst service,1,0,4.555.10003,08-12-2024 22:34,,,4.555.10003
User_11192,,make app user friendly.one can understand easily,1,0,,26-11-2024 13:44,,,
User_3045,,Very fast,5,0,4.556.10005,12-12-2024 06:50,,,4.556.10005
User_4810,,On time u reached the location Fast service,5,0,,08-12-2024 11:25,,,
User_2333,,Good experience,5,0,4.555.10003,13-12-2024 19:17,,,4.555.10003
User_839,,"Evertime if someone is booking please tell them that, if there are late than expected time of arrival to destination then cab fair rates will increase.",3,0,4.549.10000,16-12-2024 19:51,,,4.549.10000
User_5262,,Wonderful behaviour service charges keep it ❤️❤️❤️❤️,5,0,4.555.10003,07-12-2024 13:26,,,4.555.10003
User_8516,,A new scam is started where in company shut the vehicle on the road an the care doesn't start an the drivers make u get off an mark the trip as completed when it it not when a car breaks down but u dont have an idea if the car is broken down or they have shut on purpose am sure many have put reviews but uber doesn't care not a reliable source of commute also expensive,1,0,4.554.10001,01-12-2024 12:59,,,4.554.10001
User_10904,,👌,4,0,4.553.10000,27-11-2024 00:22,,,4.553.10000
User_1434,,Good,5,0,4.556.10005,15-12-2024 13:30,,,4.556.10005
User_3857,,"I love Uber their services are very good and safe. At the same time, i use my bank card .It's the transport you can rely on, so I give 5 star 🌟 is incomparable .I feel safe with is because is very safe indeed",5,0,,10-12-2024 11:58,,,
User_4601,,Muy mala experiencia los uber toman los viajes y luego los cancelan.,1,0,4.554.10001,08-12-2024 20:47,,,4.554.10001
User_2673,,Best ride uber,5,0,4.555.10003,13-12-2024 01:02,,,4.555.10003
User_5180,,Nice App,5,0,4.555.10003,07-12-2024 17:20,,,4.555.10003
User_487,,Nice,4,0,4.554.10001,17-12-2024 16:00,,,4.554.10001
User_5517,,Super,5,0,4.555.10003,06-12-2024 22:52,,,4.555.10003
User_533,,Good service 👍 👌 👏,5,0,4.556.10005,17-12-2024 13:53,,,4.556.10005
User_7602,,She's good on what she does,5,0,4.520.10000,02-12-2024 23:16,,,4.520.10000
User_7606,,Good,5,0,4.554.10001,02-12-2024 23:06,,,4.554.10001
User_6081,,Very good,5,0,4.554.10001,05-12-2024 19:23,,,4.554.10001
User_2960,,Yeah good,4,0,4.547.10001,12-12-2024 11:44,,,4.547.10001
User_2183,,No sirve pa na,1,0,,14-12-2024 00:45,,,
User_10964,,Good journey and good behaviour,5,0,4.553.10000,26-11-2024 22:25,,,4.553.10000
User_4168,,"Uber is awsome, my driver was great this app sucks and it is very confusing and over constructed; keep it simple guys, we just want a ride and not to complex. ( meaning if I wanted to drive myself, I would. )",1,0,4.547.10001,09-12-2024 17:58,,,4.547.10001
User_5719,,Always perfect,5,0,4.553.10000,06-12-2024 14:49,,,4.553.10000
User_11203,,Very good,5,0,4.553.10000,26-11-2024 13:19,,,4.553.10000
User_11555,,Great app !!,5,0,4.553.10000,25-11-2024 19:22,,,4.553.10000
User_7091,,Good 👍,5,0,4.554.10001,03-12-2024 21:01,,,4.554.10001
User_9326,,"Prices lately aren't kept. At the end of the trip, they always charge at least 50% more without previous notification.",3,0,4.553.10000,30-11-2024 01:14,,,4.553.10000
User_6714,,best,5,0,,04-12-2024 15:24,,,
